BOOKLEV;EBIT;INVGRADE;LOGSALES;MARKLEV;RATING;RETA;WKA
0,256677568;0,05760994;0;6,316473;0,212763175;2;-0,107975133;0,229021743
0,49822;0,003254789;0;9,938469;0,7834353;2;-0,10686557;-0,07309713
0,2276335;0,166817918;1;10,01179504;0,09852892;6;0,382622033;0,136250868
0,467677861;-0,029462988;0;8,43012;0,6448439;2;-0,143087968;0,03182491
0;0,034412265;0;7,291656;0;3;0,285224;0,6508468
0,1880256;0,041013043;0;8,673782;0,09323333;2;0,08744968;0,238327071
0,316874832;-0,020985825;0;6,757193;0,2560707;2;-0,07877767;0,41396144
0,2452444;0,105410807;1;9,004975;0,162728116;5;0,469218343;0,04529821
0,2854958;0,05279536;0;7,9981;0,4753297;3;0,03852848;0,09881329
0,05425123;0,1455487;1;8,169402;0,028820477;4;0,5613006;0,2839527
0,3541492;0,07011359;1;10,60554504;0,444811463;4;0,291813552;0,026579374
0,240821376;0,02969442;1;9,919361;0,296371043;4;0,09951948;0,022261431
0,331713468;0,04106431;0;8,384189;0,4735321;3;0,180185437;0,2063182
0,157894731;0,09560598;1;7,379008;0,1205059;5;0,395944;0,023660067
0,158109859;0,083483;1;10,22749;0,141816631;5;0,3622035;0,047439154
0,249363884;0,1025357;1;9,157678;0,198320583;5;0,303680062;0,0816471
0,194355413;0,0614613;1;10,17194843;0,2028631;5;0,2543922;0,042200856
0,198012039;0,1323568;1;10,03218842;0,242820755;4;0,229557931;-0,06052838
0,4250431;-0,026421597;0;8,532475;0,4939095;2;-0,11861;-0,014359564
0,441162;0,08067265;1;8,815028;0,3378671;4;0,444494933;0,028390713
0,214202851;0,07805271;1;7,542055;0,2638909;4;0,6478741;0,260528117
0,2579338;0,144634768;1;9,839258;0,129963219;5;0,179941922;0,2259103
0,35462147;0,133169159;1;7,268542;0,173974678;4;0,417706966;0,0845305
0,135065019;0,169880882;1;9,427868;0,039380327;5;-0,106154211;0,192511186
0,130924478;0,033790603;0;7,581329;0,149105757;3;0,385243446;0,277470142
0,2793291;0,12765491;1;8,148997;0,144621015;5;0,301851064;0,1749351
0,4815524;0,189918458;1;9,618182;0,192646131;5;0,9381939;-0,013524615
0,367285252;-0,147961989;0;7,180525;0,4797694;3;-0,07383233;0,394286454
0,113753177;0,227556422;1;8,916947;0,08835311;5;0,3191843;-0,001270613
0,0368221;0,1437009;1;8,852496;0,014191777;5;0,7268108;0,681796253
0,4444469;0,123643152;0;6,88353;0,226848766;3;0,6140003;0,110984758
0,224694178;0,09968515;1;10,48971176;0,206694171;5;0,163867876;0,233563423
0,02315796;0,189727873;1;7,528476;0,018784242;4;0,373114645;0,09621214
0,232864574;0,08113825;1;9,320467;0,2680367;4;0,231664553;0,3615593
0,013793103;0,277769625;1;9,140883;0,021755734;4;0,4597212;0,324578136
0,002752088;0,061929215;1;9,047715;0,002845677;7;0,2889692;0,05940164
0,258735925;0,102190822;1;8,607674;0,164812744;5;0,4415424;0,007778491
0,294841975;0,11005237;0;7,166421;0,224245414;3;-0,015487229;0,321601421
0,24410367;0,06371152;1;9,311707;0,300919741;4;0,27592656;0,4051318
0,346188575;0,249176;1;9,005724;0,113421;5;0,5232087;0,08802721
0,3809524;0,136871964;1;9,701095;0,208986357;4;0,139707074;0,003570104
0,222253278;0,15818873;1;8,801517;0,149649471;5;0,304;0,018027008
0,139342159;0,173105;1;8,879821;0,049802534;5;0,1377155;0,3175705
0,3660036;0,106644563;0;8,657164;0,277506024;3;0,2595202;0,011465672
0,133033186;0,2038312;1;7,483863;0,042107493;5;0,4363524;0,275203049
0,262459934;0,08452346;1;7,762171;0,107233912;5;-0,0542116;0,173127368
0,262277037;0,127917022;1;9,195126;0,124248989;5;0,106466569;0,07472303
0,2087201;0,177091971;1;8,596869;0,07848195;5;0,761311054;0,27601245
0,232022837;0,07814786;1;11,22673607;0,319116175;5;0,08399453;-0,05124011
0,332069844;0,09325624;1;9,70447;0,34261784;5;-0,11902535;-0,047772586
0,3039273;0,0959454;1;9,93047;0,2607648;5;0,3601754;-0,07859883
0,346837878;0,08301653;1;7,327277;0,350524873;4;0,126064956;0,030326426
0,284733534;0,106644742;1;8,153048;0,22337158;5;0,462219536;0,173207179
0,05023601;0,147589341;1;10,33682728;0,027480558;4;0,3847775;0,162592724
0,3007384;0,08833281;0;7,074104;0,199989051;3;0,4190849;0,482950151
0,301292837;0,154935867;1;8,783197;0,206675783;4;0,21165286;0,186260015
